Time (BKK),Close Time,Leg,TF,Type,Entry,Exit,Lot,P&L,Outcome
10-09-2026 17:45:05,10-09-2026 19:34:32,M15-LTS_AUS2_645,M15,BUY,4383.29,4343.67,0.07,-277.32,SL
10-09-2026 15:51:34,10-09-2026 19:34:37,M15-LTS_AUS2_644,M15,SELL,4397.87,4342.05,0.06,334.92,TP
10-09-2026 16:01:45,10-09-2026 19:39:13,H1-LTS_AUS2_653,H1,BUY,4394.35,4326.33,0.01,-68.02,SL
10-09-2026 16:16:35,10-09-2026 19:39:13,H1-LTS_AUS2_652,H1,SELL,4396.48,4326.33,0.06,420.92,TP
10-09-2026 23:10:05,11-09-2026 06:52:18,M15-LTS_AUS2_643,M15,BUY,4359.07,4313.46,0.05,-228.06,SL
11-09-2026 08:15:05,11-09-2026 08:16:12,M15-LTS_AUS2_1,M15,BUY,4333.17,4335.41,0.11,24.66,TP
11-09-2026 08:15:07,11-09-2026 08:16:12,M15-LTS_AUS2_195,M15,BUY,4332.12,4335.41,0.5,164.25,TP
11-09-2026 09:33:58,11-09-2026 09:33:59,M15-LTS_AUS2_211,M15,SELL,4319.16,4319.22,0.5,-2.8,SL
11-09-2026 09:33:58,11-09-2026 09:33:59,M15-LTS_AUS2_174,M15,SELL,4319.03,4319.09,0.5,-3.25,SL
11-09-2026 09:33:56,11-09-2026 09:33:59,M15-LTS_AUS2_127,M15,SELL,4318.9,4319.0,0.5,-5.1,SL
10-09-2026 19:00:07,11-09-2026 10:23:01,H1-LTS_AUS2_653,H1,BUY,4376.11,4304.96,0.01,-71.15,SL
10-09-2026 18:00:05,11-09-2026 10:23:07,H1-LTS_AUS2_652,H1,SELL,4380.31,4304.96,0.06,452.08,TP
11-09-2026 16:48:54,11-09-2026 17:00:14,M15-LTS_AUS2_186,M15,BUY,4343.86,4348.0,0.5,207.2,TP
10-09-2026 15:01:34,11-09-2026 19:30:17,M30-LTS_AUS2_648,M30,BUY,4411.7,4295.44,0.22,-2557.52,SL
14-09-2026 08:34:19,14-09-2026 08:35:11,M15-LTS_AUS2_1,M15,SELL,4329.69,4335.34,0.11,-62.11,SL
14-09-2026 09:49:08,14-09-2026 09:49:51,M15-LTS_AUS2_75,M15,SELL,4345.34,4345.34,0.5,0.0,SL
14-09-2026 09:49:08,14-09-2026 09:49:51,M15-LTS_AUS2_97,M15,SELL,4345.34,4345.34,0.5,0.0,SL
14-09-2026 09:49:08,14-09-2026 09:49:51,M15-LTS_AUS2_46,M15,SELL,4345.15,4345.15,0.5,0.0,SL
14-09-2026 10:04:07,14-09-2026 10:04:12,M15-LTS_AUS2_51,M15,SELL,4332.39,4332.39,0.5,0.0,SL
14-09-2026 10:04:07,14-09-2026 10:04:12,M15-LTS_AUS2_111,M15,SELL,4332.39,4332.39,0.5,0.0,SL
14-09-2026 11:19:08,14-09-2026 11:38:03,M15-LTS_AUS2_199,M15,SELL,4329.52,4326.52,0.5,150.1,TP
14-09-2026 11:19:09,14-09-2026 11:38:03,M15-LTS_AUS2_331,M15,SELL,4329.54,4326.52,0.5,150.9,TP
14-09-2026 11:19:07,14-09-2026 11:38:03,M15-LTS_AUS2_139,M15,SELL,4329.52,4326.52,0.31,93.06,TP
10-09-2026 09:02:55,14-09-2026 16:19:04,M30-LTS_AUS2_647,M30,SELL,4414.05,4287.2,0.11,1395.35,TP
10-09-2026 17:11:35,14-09-2026 16:24:20,M30-LTS_AUS2_648,M30,BUY,4393.1,4286.16,0.22,-2352.6,SL
12-09-2026 03:18:52,14-09-2026 16:26:04,M15-LTS_AUS2_643,M15,BUY,4346.53,4281.32,0.05,-326.08,SL
12-09-2026 01:03:52,14-09-2026 16:39:18,H1-LTS_AUS2_652,H1,SELL,4358.94,4279.76,0.06,475.08,TP
12-09-2026 01:08:52,14-09-2026 16:39:19,H1-LTS_AUS2_653,H1,BUY,4355.83,4279.76,0.01,-76.07,SL
12-09-2026 00:03:52,14-09-2026 19:36:26,H1-LTS_AUS2_652,H1,SELL,4362.59,4277.25,0.06,512.07,TP
12-09-2026 00:48:52,14-09-2026 19:36:27,H1-LTS_AUS2_653,H1,BUY,4361.15,4275.68,0.01,-85.47,SL
12-09-2026 00:53:52,14-09-2026 19:56:03,M15-LTS_AUS2_643,M15,SELL,4362.6,4266.07,0.05,482.66,TP
14-09-2026 18:03:53,14-09-2026 20:07:35,H1-LTS_AUS2_651,H1,SELL,4296.17,4264.01,0.06,192.98,TP
14-09-2026 18:03:53,14-09-2026 20:07:35,H1-LTS_AUS2_654,H1,SELL,4296.42,4264.01,0.5,1620.55,TP
14-09-2026 18:08:45,14-09-2026 20:07:36,H1-LTS_AUS2_650,H1,BUY,4294.7,4264.01,0.01,-30.69,SL
14-09-2026 21:03:46,14-09-2026 21:03:47,M15-LTS_AUS2_269,M15,SELL,4267.23,4267.33,0.5,-5.0,SL
15-09-2026 08:15:17,15-09-2026 08:15:53,M15-LTS_AUS2_1,M15,BUY,4300.05,4300.05,0.11,0.0,SL
15-09-2026 14:00:38,15-09-2026 14:40:53,M15-LTS_AUS2_93,M15,SELL,4294.8,4284.49,0.5,515.35,TP
15-09-2026 14:00:39,15-09-2026 14:40:53,M15-LTS_AUS2_140,M15,SELL,4294.4,4284.49,0.5,495.7,TP
15-09-2026 14:00:42,15-09-2026 14:40:53,M15-LTS_AUS2_317,M15,SELL,4294.46,4284.49,0.47,468.4,TP
15-09-2026 14:00:42,15-09-2026 14:40:53,M15-LTS_AUS2_260,M15,SELL,4294.72,4284.49,0.5,511.4,TP
